,E01615,E27064,E26813,E00863,E02877,E01697,E03355,E05254,E00947,E05353,E01573,E01206,E03186,E03219,E04760,E02873,E04036,E01254,E01495,E01971
Prior2YearInstant_NonConsolidatedMember,34,21.0,7.0,14.0,19.0,29.0,14.0,21.0,13.0,14.0,15.0,13.0,20.0,20.0,18.0,7.0,18.0,20.0,13.0,25.0
CurrentYearDuration_NonConsolidatedMember_ReportableSegmentsMember,12,,,,,18.0,,,,,,,,,,,,,,
Prior1YearDuration_NonConsolidatedMember_ValuationAndTranslationAdjustmentsMember,4,6.0,,2.0,,6.0,,6.0,,4.0,4.0,4.0,6.0,4.0,4.0,,4.0,2.0,4.0,10.0
Prior1YearInstant_NonConsolidatedMember,347,214.0,108.0,140.0,211.0,592.0,136.0,175.0,139.0,133.0,130.0,164.0,361.0,412.0,216.0,67.0,202.0,213.0,126.0,315.0
Prior1YearNonConsolidatedDuration,254,37.0,,209.0,101.0,149.0,117.0,97.0,161.0,170.0,165.0,161.0,189.0,149.0,188.0,222.0,131.0,232.0,156.0,60.0
Prior2YearDuration_NonConsolidatedMember,12,9.0,3.0,6.0,9.0,12.0,6.0,9.0,6.0,6.0,6.0,5.0,9.0,11.0,9.0,3.0,5.0,8.0,6.0,13.0
CurrentYearDuration_NonConsolidatedMember_jpcrp030000-asr_E01615-000BridgeSteelStructureAndWaterTreatmentEquipmentReportableSegmentsMember,8,,,,,,,,,,,,,,,,,,,
CurrentYTDDuration_jpcrp040300-q1r_E01615-000LiningProductsReportableSegmentsMember,6,,,,,,,,,,,,,,,,,,,
Prior1YTDNonConsolidatedDuration,90,,,,,53.0,,,,,,,86.0,86.0,,,,,,
Prior1YearInstant_NonConsolidatedMember_ReportableSegmentsMember,2,,,,,3.0,,,,,,,,,,,,,,
CurrentYearInstant_NonConsolidatedMember_CapitalStockMember,4,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,5.0
