,0,1,2,3,4,5,6,7,8,9
60,2010-03-31,733862,E02271,provisionforretirementbenefits,17207000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
61,2010-03-31,733862,E02271,provisionfordirectorsretirementbenefits,602000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
62,2010-03-31,733862,E02271,otherncl,9817000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
63,2010-03-31,733862,E02271,noncurrentliabilities,68735000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
64,2010-03-31,733862,E02271,liabilities,368562000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
65,2010-03-31,733862,E02271,capitalstock,65475000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
66,2010-03-31,733862,E02271,capitalsurplus,80711000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
67,2010-03-31,733862,E02271,retainedearnings,248368000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
68,2010-03-31,733862,E02271,shareholdersequity,381202000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
69,2010-03-31,733862,E02271,valuationdifferenceonavailableforsalesecurities,6060000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
