,Date,DateOrdinary,EdinetID,Term,Value,Context,Type,PeriodOrInstant,IsConsolidated,Src
265,2015-12-31,735963,E02271,netsales,32504000000,CurrentYTDDuration_OperatingSegmentsNotIncludedInReportableSegmentsAndOtherRevenueGeneratingBusinessActivitiesMember,Duration,2015-04-01:2015-12-31,na,
266,2015-12-31,735963,E02271,netsales,634218000000,CurrentYTDDuration_TotalOfReportableSegmentsAndOthersMember,Duration,2015-04-01:2015-12-31,na,
267,2015-12-31,735963,E02271,netsales,617390000000,CurrentYTDDuration,Duration,2015-04-01:2015-12-31,na,
268,2015-12-31,735963,E02271,operatingincome,7309000000,CurrentYTDDuration_jpcrp040300-q3r_E02271-000PrecisionMachineryReportableSegmentsMember,Duration,2015-04-01:2015-12-31,na,
269,2015-12-31,735963,E02271,operatingincome,42613000000,CurrentYTDDuration_jpcrp040300-q3r_E02271-000ImageReportableSegmentsMember,Duration,2015-04-01:2015-12-31,na,
270,2015-12-31,735963,E02271,operatingincome,45748000000,CurrentYTDDuration_ReportableSegmentsMember,Duration,2015-04-01:2015-12-31,na,
271,2015-12-31,735963,E02271,operatingincome,2394000000,CurrentYTDDuration_OperatingSegmentsNotIncludedInReportableSegmentsAndOtherRevenueGeneratingBusinessActivitiesMember,Duration,2015-04-01:2015-12-31,na,
272,2015-12-31,735963,E02271,operatingincome,48143000000,CurrentYTDDuration_TotalOfReportableSegmentsAndOthersMember,Duration,2015-04-01:2015-12-31,na,
273,2015-12-31,735963,E02271,operatingincome,29029000000,CurrentYTDDuration,Duration,2015-04-01:2015-12-31,na,
274,2016-02-04,735998,E02271,securitycodedei,77310,FilingDateInstant,Instant,2016-02-04,na,
